DateTime,Entries,UniqueIPs
1480615329,1836,1836
1480618930,1842,1842
1480622529,1847,1847
1480626130,1845,1845
1480629734,1852,1852
1480633330,1849,1849
1480636930,1847,1847
1480640529,1847,1847
1480644130,1849,1849
1480647729,1857,1857
1480651329,1853,1853
1480654930,1854,1854
1480658537,1964,1964
1480662138,2024,2024
1480665739,2023,2023
1480669339,2016,2016
1480672939,2021,2021
1480676539,2020,2020
1480680140,2022,2022
1480683741,2030,2030
1480687340,2033,2033
1480690939,2032,2032
1480694539,2023,2023
1480698140,2022,2022
1480701740,2026,2026
1480705341,2026,2026
1480708940,2028,2028
1480712540,2028,2028
1480716141,2029,2029
1480719741,2034,2034
1480723341,2037,2037
1480726940,2036,2036
1480730541,2035,2035
1480734139,2036,2036
1480737740,2035,2035
1480741340,2039,2039
1480744939,2043,2043
1480748541,2048,2048
1480752140,2049,2049
1480755740,2047,2047
1480759342,2082,2082
1480762943,2096,2096
1480766543,2101,2101
1480770144,2098,2098
1480773744,2093,2093
1480777343,2099,2099
1480780942,2088,2088
1480784543,2088,2088
1480788144,2086,2086
1480791744,2088,2088
1480795344,2085,2085
1480798942,2082,2082
1480802544,2088,2088
1480806144,2095,2095
1480809745,2091,2091
1480813343,2088,2088
1480816943,2091,2091
1480820552,2094,2094
1480824142,2076,2076
1480827742,2079,2079
1480831343,2080,2080
1480834945,2078,2078
1480838544,2078,2078
1480842142,2076,2076
1480845741,2078,2078
1480849345,2078,2078
1480852944,2079,2079
1480856542,2071,2071
1480860139,2049,2049
1480863742,2050,2050
1480867343,2045,2045
1480870943,2040,2040
1480874542,2031,2031
1480878142,2028,2028
1480881742,2028,2028
1480885341,2026,2026
1480888942,2033,2033
1480892541,2029,2029
1480896142,2025,2025
1480899741,2024,2024
1480903340,2026,2026
1480906941,2021,2021
1480910541,2021,2021
1480914141,2021,2021
1480917742,2019,2019
1480921340,2016,2016
1480924940,2014,2014
1480928542,2007,2007
1480932141,2005,2005
1480935740,2011,2011
1480939341,2007,2007
1480942940,2003,2003
1480946540,2001,2001
1480950140,1997,1997
1480953740,1995,1995
1480957342,1995,1995
1480960942,1999,1999
1480964540,1991,1991
1480968141,1985,1985
1480971740,1981,1981
1480975340,1980,1980
1480978940,1977,1977
1480982539,1968,1968
1480986138,1964,1964
1480989740,1961,1961
1480993338,1954,1954
1480996937,1951,1951
1481000536,1951,1951
1481004138,1946,1946
1481007737,1942,1942
1481011337,1935,1935
1481014937,1934,1934
1481018539,1935,1935
1481022139,1940,1940
1481025738,1937,1937
1481029338,1939,1939
1481032938,1935,1935
1481036538,1926,1926
1481040138,1921,1921
1481043736,1913,1913
1481047338,1915,1915
1481050938,1913,1913
1481054538,1911,1911
1481058138,1909,1909
1481061736,1902,1902
1481065335,1890,1890
1481068935,1886,1886
1481072535,1886,1886
1481076134,1881,1881
1481079734,1875,1875
1481083334,1869,1869
1481086934,1871,1871
1481090534,1871,1871
1481094132,1801,1801
1481097732,1804,1804
1481101332,1797,1797
1481104933,1799,1799
1481108532,1794,1794
1481112131,1791,1791
1481115736,1895,1895
1481119342,2005,2005
1481122950,2174,2174
1481126556,2301,2301
1481130167,2505,2505
